time,temperature
2026-07-05 11:50:00-04:00,23.39999999999982
2026-07-05 12:00:00-04:00,23.405349794238496
2026-07-05 12:10:00-04:00,23.399999999999842
2026-07-05 12:20:00-04:00,23.399999999999793
2026-07-05 12:30:00-04:00,23.39999999999987
2026-07-05 12:40:00-04:00,23.399999999999793
2026-07-05 12:50:00-04:00,23.3999999999999
2026-07-05 13:00:00-04:00,23.399999999999793
2026-07-05 13:10:00-04:00,23.399999999999924
2026-07-05 13:20:00-04:00,23.399999999999793
2026-07-05 13:30:00-04:00,23.39999999999995
2026-07-05 13:40:00-04:00,23.399999999999793
2026-07-05 13:50:00-04:00,23.39999999999995
2026-07-05 14:00:00-04:00,23.399999999999793
2026-07-05 14:10:00-04:00,23.399999999999945
2026-07-05 14:20:00-04:00,23.399999999999793
2026-07-05 14:30:00-04:00,23.39999999999995
2026-07-05 14:40:00-04:00,23.399999999999793
2026-07-05 14:50:00-04:00,23.399999999999945
2026-07-05 15:00:00-04:00,23.399999999999793
2026-07-05 15:10:00-04:00,23.399999999999906
2026-07-05 15:20:00-04:00,23.399999999999793
2026-07-05 15:30:00-04:00,23.39999999999988
2026-07-05 15:40:00-04:00,23.399999999999796
2026-07-05 15:50:00-04:00,23.399999999999846
2026-07-05 16:00:00-04:00,23.399999999999793
2026-07-05 16:10:00-04:00,23.39999999999982
2026-07-05 16:20:00-04:00,23.399999999999793
2026-07-05 16:30:00-04:00,23.3999999999998
2026-07-05 16:40:00-04:00,23.26569646569646
2026-07-05 16:50:00-04:00,23.399999999999793
2026-07-05 17:00:00-04:00,23.399999999999814
2026-07-05 17:10:00-04:00,23.399999999999796
2026-07-05 17:20:00-04:00,23.399999999999842
2026-07-05 17:30:00-04:00,23.399999999999793
2026-07-05 17:40:00-04:00,23.399999999999874
2026-07-05 17:50:00-04:00,23.399999999999793
2026-07-05 18:00:00-04:00,23.399999999999906
2026-07-05 18:10:00-04:00,23.399999999999793
2026-07-05 18:20:00-04:00,23.399999999999935
2026-07-05 18:30:00-04:00,23.399999999999793
2026-07-05 18:40:00-04:00,23.39999999999995
2026-07-05 18:50:00-04:00,23.399999999999793
2026-07-05 19:00:00-04:00,23.39999999999995
2026-07-05 19:10:00-04:00,23.399999999999793
2026-07-05 19:20:00-04:00,23.39999999999995
2026-07-05 19:30:00-04:00,23.399999999999793
2026-07-05 19:40:00-04:00,23.39999999999995
2026-07-05 19:50:00-04:00,23.399999999999796
2026-07-05 20:00:00-04:00,23.399999999999945
2026-07-05 20:10:00-04:00,23.399999999999793
2026-07-05 20:20:00-04:00,23.399999999999793
2026-07-05 20:30:00-04:00,23.399999999999814
